No,HGAL,SP-1A,SP-2A,SP-6B,SP-1C,SP-2C,BLCLpredict,Monocytepredict,NKG2A,3D12 MFI
350,05E01647,0,2,0,1,1,20.8322,17.9779,30.588,24.173
351,05E01953,0,2,2,0,0,5.8408,10.9016,6.338,18.369
352,10J00042,1,1,1,1,0,17.6373,16.2547,35.3,26.339
353,10J00120,1,1,1,2,0,22.7076,18.2385,12.035,14.334
354,10J00126,1,1,0,2,0,26.4877,20.2201,31.1,22.879
355,10J00248,0,2,1,2,0,19.7615,16.8508,17.018,27.417
356,10J00279,0,2,0,2,0,23.5416,18.8324,20.053,17.792
357,42M00149,1,1,0,1,0,21.4174,18.2363,22.74,21.696
358,42M01138,1,1,1,1,0,17.6373,16.2547,4.385,12.174
359,04D00027,1,1,1,0,1,14.9279,15.4002,15.455,22.503
360,05E00009,1,1,2,0,1,11.1478,13.4186,15.425,23.776
361,42M00174,1,1,1,1,1,19.9982,17.384,12.315,17.837
362,42M00373,0,2,1,1,1,17.0521,15.9963,2.418,8.451
363,42M00579,0,1,2,1,1,14.5115,14.5223,14.45,16.892
364,42M00890,0,2,0,1,1,20.8322,17.9779,14.685,17.315
365,42M01160,2,0,2,1,1,19.1642,16.7901,17.11,17.664
366,42M01176,0,2,1,0,1,11.9818,14.0125,4.885,15.854
367,42M01177,1,0,1,1,1,21.2377,17.8916,21.563,14.231
368,42M01194,1,0,1,0,1,16.1674,15.9078,6.318,9.174
369,42M00852,1,1,1,1,0,17.6373,16.2547,13.158,17.167
370,42M00964,0,2,1,1,0,14.6912,14.867,16.72,15.948
371,42M01126,0,2,1,1,0,14.6912,14.867,9.773,18.21
372,CAR26197,0,1,1,2,0,21.001,17.3584,21.405,17.213
373,05E01774,0,2,0,1,0,18.4713,16.8486,9.123,14.855
374,42M00015,0,2,0,1,0,18.4713,16.8486,20.648,17.945
375,42M00032,0,1,0,1,0,19.7108,17.3562,5.45,10.697
376,42M00109,1,1,0,2,0,26.4877,20.2201,20.748,19.368
378,42M00133,0,2,0,2,0,23.5416,18.8324,26.533,20.244
379,05E00494,1,1,0,2,0,26.4877,20.2201,34.133,15.408
380,66K00241,1,1,0,2,0,26.4877,20.2201,27.733,18.421
381,CAR28886,1,1,0,2,0,26.4877,20.2201,16,11.66
382,05E00026,2,0,2,0,0,11.733,13.677,9.82,17.273
385,05E00456,2,0,1,1,0,20.5834,17.6424,15.513,15.814
386,10J00174,2,0,1,1,0,20.5834,17.6424,16.698,15.463
387,66K00037,2,0,1,1,0,20.5834,17.6424,16.125,22.188
388,10J00130,1,1,1,1,0,17.6373,16.2547,5.83,14.089
389,66K00574,1,1,1,1,0,17.6373,16.2547,9.888,16.063
390,CAR37493,1,1,1,1,0,17.6373,16.2547,13.018,17.44
393,05E01147,1,1,1,0,1,14.9279,15.4002,16.223,30.983
394,05E01169,0,1,0,2,0,24.7811,19.34,28.735,16.043
397,42M00031,0,2,0,1,0,18.4713,16.8486,16.495,25.938
398,42M00398,0,2,1,0,0,9.6209,12.8832,8.933,24.668
400,42M01095,0,1,0,2,0,24.7811,19.34,30.238,27.708
401,42M01118,1,1,1,2,0,22.7076,18.2385,29.325,15.937
402,42M01172,1,1,0,2,0,26.4877,20.2201,12.385,12.251
404,42M01288,0,2,0,0,0,13.401,14.8648,34.065,15.067
405,66K00058,1,1,1,1,0,17.6373,16.2547,10.23,18.754
406,CAR18206,1,1,1,1,1,19.9982,17.384,15.3,20.441
407,CAR39231,0,2,0,2,0,23.5416,18.8324,24.048,19.469
