Cell Preparation,Stoichiometry,Cytokine conditioning,Donor,Time,IFNg,IL-10,IL-17a,IL-2,IL-4,IL-6,TNF
With bystander,1:1,IL-12+IL-15,279,12.0,3.421239176804251e-07,4.961143714428102e-08,1.1652294421105937e-07,1.5982565543759956e-08,6.66068645433638e-09,6.816054479107592e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,279,18.0,3.069735363686265e-07,2.6399334274723534e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,6.582765892570302e-07,5.654960133889214e-08
With bystander,1:1,IL-12+IL-15,279,24.0,2.7247370780590987e-07,3.245699566759536e-08,1.2131472236201026e-07,1.5982565543759956e-08,6.66068645433638e-09,7.310913223399686e-07,8.091739238270188e-08
With bystander,1:1,IL-12+IL-15,279,30.0,2.994344283866774e-07,2.1921949208376054e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,4.2665830388444774e-07,6.721520768621742e-08
With bystander,1:1,IL-12+IL-15,279,36.0,1.8003050470383944e-07,1.4615428666932267e-08,1.1408126760442618e-07,2.46769280873154e-08,1.0860211949025581e-08,5.517505887053319e-07,6.336706552494153e-08
With bystander,1:1,IL-12+IL-15,279,42.0,1.742096722915645e-07,1.059934891509508e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,6.679256646586065e-07,6.045889240532581e-08
With bystander,1:1,IL-12+IL-15,279,48.0,1.3110548609172782e-07,1.1813837845864517e-08,1.1160709861525175e-07,1.8358338716387214e-08,1.126110418083681e-08,5.298004454986076e-07,3.2096660111227937e-08
With bystander,1:1,IL-12+IL-15,279,60.0,1.264076647289607e-07,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.9016324386417526e-08,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,279,72.0,9.53111126303576e-08,7.465354056645608e-09,2.2132653467315073e-07,1.5982565543759956e-08,8.3293693695681e-09,7.579177554732591e-07,6.865005865026692e-08
With bystander,3:1,No cytokine,276,1.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.9016324386417526e-08,5.4580440627920285e-08
With bystander,3:1,No cytokine,276,3.0,1.2563935788623802e-08,1.6855769686704537e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,3.306586279972765e-08,3.0800562973453844e-08
With bystander,3:1,No cytokine,276,6.0,1.2563935788623802e-08,1.7117924107721088e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,8.368579541694021e-08,3.0800562973453844e-08
With bystander,3:1,No cytokine,276,12.0,1.3685450141443225e-08,1.6593331149975506e-08,8.536235005092829e-08,1.6907705502910622e-08,6.66068645433638e-09,1.2298706426466416e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,276,18.0,2.6575631949031306e-08,3.383377630230249e-08,1.221020660509661e-07,3.204468698111771e-08,6.66068645433638e-09,1.7592433054921326e-07,3.5797350840220366e-08
With bystander,3:1,No cytokine,276,24.0,1.680907649415282e-08,4.680503073171853e-08,8.536235005092829e-08,2.1842728087707613e-08,6.66068645433638e-09,2.231276021593244e-07,3.8406756816293866e-08
With bystander,3:1,No cytokine,276,30.0,1.2563935788623802e-08,4.4846073103649016e-08,8.536235005092829e-08,4.04330879435115e-08,7.611673494616903e-09,2.029978840117879e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,276,36.0,1.762334686901921e-08,4.7782424340654754e-08,1.0397253618760307e-07,4.0626326199336175e-08,6.66068645433638e-09,1.969792476213683e-07,4.35512740255548e-08
With bystander,3:1,No cytokine,276,42.0,2.1599020125668194e-08,3.533136564004464e-08,8.536235005092829e-08,5.171606109927706e-08,7.919808776738413e-09,2.383765239133412e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,276,48.0,1.2563935788623802e-08,2.5125850462069606e-08,8.536235005092829e-08,5.6997542052432e-08,8.635620520347085e-09,2.1691162237349556e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,276,60.0,1.2563935788623802e-08,2.6272179821862403e-08,8.536235005092829e-08,6.633264939397546e-08,6.66068645433638e-09,3.313975497064201e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,276,72.0,2.8813996659070147e-08,2.0243292602527932e-08,8.536235005092829e-08,3.006891596782701e-08,1.7465480287187912e-08,2.485829544218999e-07,4.7603904587435385e-08
With bystander,3:1,No cytokine,277,1.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.143162661392e-08,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,3.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,4.895386271778012e-08,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,6.0,2.3919490690080314e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.1043868513733753e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,12.0,2.120790685077205e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.984249415008102e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,18.0,1.2563935788623802e-08,1.79027320976644e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.656082448278852e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,24.0,1.2563935788623802e-08,2.3207151764253608e-08,9.321953278240918e-08,1.7737874582552027e-08,6.66068645433638e-09,2.762107953509058e-07,3.156305759276958e-08
With bystander,3:1,No cytokine,277,30.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,2.041413468017379e-08,6.66068645433638e-09,1.9016324386417526e-08,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,36.0,1.5780832875341192e-08,3.6451708761547246e-08,8.536235005092829e-08,3.066275796657024e-08,6.66068645433638e-09,3.162620706091028e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,42.0,2.0815461406767608e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,1.2458024357649927e-08,2.0924340195661613e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,48.0,1.6193573679232857e-08,2.9438892611208375e-08,8.536235005092829e-08,1.8564763001517762e-08,6.66068645433638e-09,1.7811083686322545e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,60.0,1.2563935788623802e-08,1.100520975128843e-08,8.536235005092829e-08,2.3668035531192554e-08,6.66068645433638e-09,1.7956738301223523e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,277,72.0,1.2563935788623802e-08,1.9984198259696608e-08,8.536235005092829e-08,4.178417015051838e-08,2.0267219119791415e-08,1.7786799211751342e-07,3.0800562973453844e-08
With bystander,3:1,No cytokine,278,1.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,4.5165425666683216e-08,3.0800562973453844e-08
With bystander,3:1,No cytokine,278,3.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,7.487968170424203e-08,3.0800562973453844e-08
With bystander,3:1,No cytokine,278,6.0,2.2183264726300864e-08,8.82732249929891e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.2698054396346027e-07,3.0800562973453844e-08
